LTPT	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	No	No	No	No	Yes	No	Yes	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	Yes
Lachnoclostridium	7	43	7	4	3	1	23	15	0	68	2	0	33	50	58	40	7	1	14	0	1	8	0	11	68	5	57	25	2	0	0	8	0	34	0	0	0	0	10	14	7	1	63	25	0	180	2	0	1	3	127	14	0	0	5	30	29	0	25	81	2	12	6	35	27
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	1	1	8	0	0	0	0	0
Lactobacillus	1	0	47	17	351	3	2	129	21	0	1	234	0	2	0	0	37	1	122	0	1	1	244	146	0	0	52	0	1	8	200	2	0	0	145	69	412	224	0	65	0	1236	0	81	4	15	92	305	247	2	20	0	3	217	17	40	2	42	0	0	0	0	4	0	3
Lactococcus	8	0	0	1	0	0	0	0	1	1	23	0	20	0	1	0	0	0	1	0	0	1	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	1	0	4	0	0	0	0	0	3	0	0	0	0	2	0	0	1	0	2	0	0	0
Megasphaera	0	0	13	0	43	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	6	0	4	0	0	0	0	0	0	0	0	7	0	6	0	3	0	1	0	0	12	3	3	0	5	0	1	0	3	107	0	0	0	0	2	0	0	10	0
Parabacteroides	0	0	47	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	19	48	2	0	1	0	0	0	0	7	23	1	0	1	0	0	146	3	0	0	0	0	0	0	0	0	0
Peptoniphilus	0	0	0	0	1	0	2	0	0	0	4	0	0	0	0	0	17	0	3	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	77	1	0	0	0	1	0	5	0	0	1	14	0	0	0	0	0	1	2	0	1	2	5	0	0	1	0	1	0
Prevotella	77	0	1	0	0	0	0	0	0	0	1	0	1	1	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	0	0	0	519	0	0	0	0	0	1	0	0	0
Robinsoniella	26	0	0	0	0	0	0	18	6	25	181	0	91	0	123	0	114	1	36	0	0	0	8	0	14	0	0	1	2	0	0	1	0	0	0	42	0	0	81	56	12	0	7	0	150	0	0	0	0	0	0	7	9	0	0	0	17	0	279	373	14	63	198	0	181
Romboutsia	14	0	7	0	2	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	1	0	0	0	3	27	0	4	0	1	0	6	14	1	0	0	0	0	0	0	1	5	5	0	0	0	3	0	0	0	0	0	0	0	0	1	2	0	0	13	0	6	3	0	0
Roseburia	1	0	0	0	10	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	5	0	107	0	14	0	0	1	1	13	0	0	0	0	0	1	5	0	0	0	1	0	1	0	1	0	0	0	321	5	0	0	17	314	5	0	0	0	0	312	0	0	0
Rothia	0	0	0	0	0	1	2	1	8	1	1	0	0	0	0	1	0	0	0	0	3	0	4	0	0	0	0	1	0	2	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	0	5	0	0	0	0	1	0	0	0	0	0
Ruthenibacterium	0	4	0	0	0	2	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	43	0	0	5	0	3	0	6	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	6	27	0	0	0	59	0	0	0	8	36	0	0	0
Schaalia	1	1	0	5	7	6	5	19	145	0	27	95	2	4	2	1	1	5	2	0	0	3	0	7	0	0	3	3	5	6	7	3	5	4	1	9	12	5	1	1	1	3	3	1	4	1	6	8	11	0	3	1	2	2	5	7	6	11	0	4	1	2	0	0	1
Staphylococcus	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0
Streptococcus	10	21	58	124	131	48	208	13	563	672	230	178	35	290	139	1320	19	13	48	1	677	133	200	47	6	763	28	180	45	265	96	223	87	395	29	343	135	63	131	403	800	249	83	33	356	328	26	172	29	63	775	23	348	55	46	300	73	121	326	417	299	6	576	0	141
Varibaculum	0	0	0	8	0	1	0	10	1	0	9	20	0	0	0	0	0	0	0	0	0	7	0	0	1	0	9	0	3	0	0	0	0	0	3	0	39	1	0	0	0	1	0	0	0	0	0	0	10	0	1	0	0	0	3	0	0	0	0	0	0	0	0	2	1
Veillonella	0	74	126	8	1	17	37	4	138	202	16	98	1	423	0	3	438	9	7	3	238	23	7	6	112	68	4	270	4	78	6	1	7	55	11	69	12	87	129	107	22	48	163	36	5	49	168	50	85	8	35	71	0	33	191	6	19	0	43	14	116	18	56	28	25
