LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	Yes	No
Hungatella	2	0	2	0	0	0	0	2	1	4	3	3	0	2	0	0	0	0	0	1	0	0	13	0	3	0	0	0	6	1	12	1	0	0	1	0	10	7	0	6	0	1	2	2	0	4	6	2	1	0	1	4	0	1	4	0	0	0	2	0	1	0	8
Ihubacter	7	1	0	4	0	0	0	0	14	0	0	0	2	2	0	0	0	2	0	4	7	12	0	0	0	2	0	5	1	9	0	0	0	8	0	16	0	3	0	3	0	5	0	0	0	1	0	0	0	0	0	0	5	0	2	0	1	0	1	0	0	0	0
Intestinibacter	10	1	7	0	5	1	6	5	6	20	5	8	9	23	0	4	13	6	0	13	8	3	78	8	6	2	1	0	16	5	5	0	38	19	23	3	45	5	15	10	0	0	0	70	8	15	4	17	75	1	2	1	1	10	3	6	13	24	13	6	6	15	26
Klebsiella	8	0	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	4	0	1	1	0	0	0	47	0	0	0	0	0	0	1	0
Lachnoclostridium	70	54	11	36	11	63	59	43	24	35	48	46	75	41	106	43	31	55	5	122	150	43	88	47	129	9	59	89	109	341	196	33	14	55	7	28	29	225	155	60	26	70	46	29	14	217	35	139	46	84	7	88	85	18	100	80	65	15	76	66	35	49	129
Lachnospira	0	0	0	1	0	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	1	0	0	2	0	0	2	0	0	0	1	0	0	1	3	0	0	0	19	0	0	0	0	1	0	0	8	0	0	1	0	0	0	0	0
Lactobacillus	6	0	0	3	32	40	23	0	3	0	2	13	0	14	1	0	2	0	8	0	28	1	0	0	0	13	5	0	1	9	0	1	10	2	4	0	0	1	6	24	0	0	0	52	8	0	0	0	0	0	0	1	5	0	0	11	5	0	0	13	3	0	0
Lactococcus	0	0	0	2	0	1	0	0	1	0	0	4	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	98	0	0	62	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactonifactor	0	0	2	1	0	0	0	0	0	0	6	0	0	1	0	2	0	1	0	2	0	28	2	0	0	0	0	0	3	0	0	0	0	0	0	5	1	1	0	0	0	1	0	1	0	0	0	6	6	0	0	0	2	1	0	9	2	0	1	9	1	0	1
Massilimicrobiota	8	3	0	4	8	3	1	0	6	0	2	5	0	0	0	2	0	7	1	17	3	0	6	0	0	2	1	2	4	2	4	8	8	3	2	4	10	1	0	10	4	0	0	2	0	0	0	3	2	2	0	7	0	1	9	15	0	0	4	8	40	0	0
Monoglobus	12	0	0	9	0	18	1	0	2	0	0	11	2	51	0	1	0	0	0	24	5	5	0	0	0	1	0	2	0	0	1	3	11	26	2	10	0	41	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	8	0
Mordavella	14	0	11	11	0	0	0	0	18	0	8	3	1	0	1	9	0	2	0	0	0	0	0	0	0	6	3	1	2	1	3	0	9	10	0	8	0	4	0	7	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	1	0	5	0	1	0	0
Negativibacillus	1	0	0	1	0	3	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0
Odoribacter	1	0	1	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	0	6	4	0	1	0	2	1	0	0	0	0	0	0	0	0	0	0
Oscillibacter	36	0	1	12	0	13	2	0	31	0	1	0	9	1	0	0	0	0	0	6	0	12	0	6	3	0	0	2	0	1	7	5	0	0	0	9	3	5	1	15	1	2	0	0	0	6	5	6	0	0	0	21	2	0	2	0	2	0	9	2	0	1	3
Parabacteroides	5	0	27	13	10	5	13	45	0	0	0	5	10	6	0	1	4	0	0	0	0	18	41	2	6	22	9	1	12	6	0	1	0	1	1	12	2	141	13	5	13	12	0	0	10	57	76	5	0	0	5	47	1	3	0	8	1	0	6	14	0	2	0
Parasutterella	0	0	8	0	0	0	1	26	0	1	0	0	1	5	0	0	6	0	0	0	0	0	10	0	0	0	0	0	0	0	9	0	0	0	0	0	23	0	0	0	18	0	0	0	0	8	5	60	0	0	0	0	0	0	3	0	0	0	11	0	1	0	0
