LTPT	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	Yes	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	No	Yes	No	No	No	Yes	Yes	No	Yes	Yes	Yes	No	No	No	No	No	Yes	Yes	No	Yes	No	Yes	No	No	Yes	No	Yes	Yes	No	Yes	Yes	No
Eisenbergiella	3	0	6	0	6	0	2	0	0	0	0	0	0	0	0	26	0	33	15	1	2	0	0	0	4	2	5	2	0	0	0	0	42	2	11	0	0	13	10	10	1	0	6	29	12	173	0	6	0	5	3	2	0	36	17	0	16	1	7	9	3	5	11	0	0
Enterococcus	3	1	2	0	6	0	1	1	0	0	15	45	0	0	7	2	6	2	4	1	0	15	0	1	3	6	4	2	0	0	1	0	10	2	4	4	0	0	2	13	0	0	0	21	0	8	2	4	1	4	1	17	1068	17	0	0	1	0	4	2	3	2	16	0	4
Erysipelatoclostridium	60	33	18	40	49	0	27	17	39	42	89	54	27	246	41	121	53	249	76	55	58	158	111	37	51	42	101	135	15	38	108	28	109	30	25	50	36	33	79	73	63	14	55	435	437	356	118	39	23	117	31	257	306	81	57	136	71	33	237	225	33	308	107	41	23
Escherichia	1	5	13	8	0	1	2	0	2	7	0	0	0	2	12	10	11	105	19	0	63	23	1	9	8	3	22	83	5	29	8	0	11	7	2	2	0	0	0	2	0	22	0	20	31	10	82	113	62	3	0	0	0	61	0	3	0	8	26	3	0	2	0	33	2
Eubacterium	28	11	41	26	0	20	9	0	17	0	0	2	83	13	0	14	0	0	0	54	3	1	72	33	32	0	16	0	54	6	16	10	0	138	0	6	10	76	10	0	4	0	7	1	19	1	0	0	0	18	6	0	0	0	10	33	40	63	0	35	2	0	21	0	1
Faecalibacterium	284	60	468	27	365	341	195	99	197	154	85	12	159	237	50	106	296	290	5	252	491	789	235	330	158	56	153	73	359	168	31	438	497	21	374	3	206	170	374	57	344	103	234	0	3	150	35	368	114	181	647	43	338	258	124	338	209	88	205	127	108	2	23	13	29
Faecalicatena	19	3	5	18	2	16	4	23	45	73	1	5	100	101	31	11	0	2	0	42	47	0	13	1	5	13	2	2	9	12	4	3	47	24	6	0	3	77	0	72	12	0	7	1	25	156	1	3	0	7	18	11	9	12	17	3	29	19	104	101	0	5	1	67	1
Faecalimonas	0	0	0	2	0	0	0	0	0	3	0	0	3	0	0	0	0	1	0	0	29	0	0	0	1	0	0	0	0	24	0	0	1	0	0	0	0	1	0	38	0	0	0	0	0	0	0	10	0	89	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Flavonifractor	6	2	7	8	1	5	4	0	10	1	2	1	0	6	3	13	2	6	0	8	8	17	15	6	1	1	0	2	2	0	8	3	6	0	6	0	2	18	2	12	11	1	7	1	6	7	1	1	3	22	3	1	2	4	16	6	10	4	22	8	5	6	19	2	5
Fournierella	0	0	0	9	0	185	11	0	36	2	2	0	68	1	0	0	0	0	0	1	0	0	84	0	0	0	0	0	0	0	0	3	1	0	0	0	2	132	0	1	0	0	0	0	1	0	0	1	0	0	2	0	0	6	0	0	0	0	0	0	61	0	1	0	0
Frisingicoccus	0	0	1	0	0	0	0	1	4	0	0	0	2	0	0	21	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	8	1	4	10	0	0	0	4	0	0	0	0	1	2	0	0	0	7	0	0	0	0	3	4	0	5	2	0
Fusicatenibacter	0	630	349	1	364	96	279	619	313	450	90	727	443	30	724	307	20	34	0	83	249	0	53	280	406	495	289	249	477	1	336	219	0	129	172	216	384	155	42	231	255	0	520	1	0	51	145	397	0	294	262	0	38	627	0	0	361	520	52	178	360	1	0	229	477
G_undefined_Lachnospiraceae	0	252	206	0	2	30	42	0	18	0	0	0	2	0	0	0	0	0	0	70	222	0	62	155	195	0	123	0	15	630	0	133	0	1	826	4	310	76	1	146	32	0	466	0	216	637	1	39	48	0	301	0	0	115	0	387	0	0	0	169	2	0	1	0	28
G_undefined_Ruminococcaceae	17	1	1	2	0	16	4	0	35	0	0	0	7	7	0	23	0	0	0	0	1	0	4	0	0	0	0	1	0	0	0	4	0	0	4	3	1	30	0	0	0	0	192	0	2	0	0	0	0	0	2	4	0	0	8	1	0	2	0	3	0	20	23	0	1
Gemella	0	3	0	3	1	1	1	0	0	3	0	2	0	2	1	3	0	1	0	0	0	0	0	1	2	0	0	3	0	0	0	3	1	0	0	0	2	0	0	2	0	0	0	1	1	0	4	2	0	0	2	0	0	3	1	0	2	0	1	0	0	0	0	1	0
